       1   1.500000E+01   1.692826E-01   3.000000E+14
       2   1.356714E+01   2.365088E-01   3.500000E+14
       3   1.247562E+01   3.195492E-01   4.000000E+14
       4   1.199925E+01   4.155055E-01   4.500000E+14
       5   1.179670E+01   5.209155E-01   5.000000E+14
       6   1.172168E+01   6.322031E-01   5.500000E+14
       7   1.170293E+01   7.460400E-01   6.000000E+14
       8   1.171043E+01   8.595691E-01   6.500000E+14
       9   1.172543E+01   9.705013E-01   7.000000E+14
      10   1.174044E+01   1.077121E+00   7.500000E+14
      11   1.174794E+01   1.178236E+00   8.000000E+14
      12   1.174419E+01   1.273096E+00   8.500000E+14
      13   1.173668E+01   1.361310E+00   9.000000E+14
      14   1.171793E+01   1.442760E+00   9.500000E+14
      15   1.169542E+01   1.517529E+00   1.000000E+15
      16   1.166542E+01   1.585842E+00   1.050000E+15
      17   1.162791E+01   1.648015E+00   1.100000E+15
      18   1.158665E+01   1.704423E+00   1.150000E+15
      19   1.154539E+01   1.755466E+00   1.200000E+15
      20   1.149662E+01   1.801554E+00   1.250000E+15
      21   1.144786E+01   1.843092E+00   1.300000E+15
      22   1.139910E+01   1.880469E+00   1.350000E+15
      23   1.134659E+01   1.914056E+00   1.400000E+15
      24   1.129407E+01   1.944198E+00   1.450000E+15
      25   1.124156E+01   1.971215E+00   1.500000E+15
      26   1.118905E+01   1.995402E+00   1.550000E+15
      27   1.113653E+01   2.017029E+00   1.600000E+15
      28   1.108402E+01   2.036341E+00   1.650000E+15
      29   1.103151E+01   2.053561E+00   1.700000E+15
      30   1.097899E+01   2.068892E+00   1.750000E+15
      31   1.093023E+01   2.082515E+00   1.800000E+15
      32   1.087772E+01   2.094597E+00   1.850000E+15
      33   1.082896E+01   2.105285E+00   1.900000E+15
      34   1.078020E+01   2.114713E+00   1.950000E+15
      35   1.073518E+01   2.123003E+00   2.000000E+15
      36   1.068642E+01   2.130264E+00   2.050000E+15
      37   1.064141E+01   2.136592E+00   2.100000E+15
      38   1.059640E+01   2.142078E+00   2.150000E+15
      39   1.055514E+01   2.146801E+00   2.200000E+15
      40   1.051013E+01   2.150832E+00   2.250000E+15
      41   1.046887E+01   2.154237E+00   2.300000E+15
      42   1.043136E+01   2.157074E+00   2.350000E+15
      43   1.039010E+01   2.159396E+00   2.400000E+15
      44   1.035259E+01   2.161251E+00   2.450000E+15
      45   1.031508E+01   2.162682E+00   2.500000E+15
      46   1.027757E+01   2.163729E+00   2.550000E+15
      47   1.024006E+01   2.164427E+00   2.600000E+15
      48   1.020630E+01   2.164808E+00   2.650000E+15
      49   1.017254E+01   2.164902E+00   2.700000E+15
      50   1.013878E+01   2.164734E+00   2.750000E+15
